Half Reaction,Standard Reduction Potential (V)
Sr+ + e- -> Sr,-4.10
Ca+ + e- -> Ca,-3.80
Pr3+ + e- -> Pr2+,-3.1
3 N2 + 2 H+ + 2 e- -> 2 HN3,-3.09
Li+ + e- -> Li,-3.0401
Cs+ + e- -> Cs,-3.026
Ca(OH)2 + 2 e- -> Ca + 2 OH-,-3.02
Er3+ + e- -> Er2+,-3.0
Ba(OH)2 + 2 e- -> Ba + 2 OH-,-2.99
Rb+ + e- -> Rb,-2.98
K+ + e- -> K,-2.931
Ba2+ + 2 e- -> Ba,-2.912
La(OH)3 + 3 e- -> La + 3 OH-,-2.90
Fr+ + e- -> Fr,-2.9
Sr2+ + 2 e- -> Sr,-2.899
Sr(OH)2 + 2 e- -> Sr + 2 OH-,-2.88
Ca2+ + 2 e- -> Ca,-2.868
Eu2+ + 2 e- -> Eu,-2.812
Ra2+ + 2 e- -> Ra,-2.8
Ho3+ + e- -> Ho2+,-2.8
Bk3+ + e- -> Bk2+,-2.8
Yb2+ + 2 e- -> Yb,-2.76
Na+ + e- -> Na,-2.71
Mg+ + e- -> Mg,-2.70
Nd3+ + e- -> Nd2+,-2.7
Mg(OH)2 + 2 e- -> Mg + 2 OH-,-2.690
Sm2+ + 2 e- -> Sm,-2.68
Be2O3(2-) + 3 H2O + 4 e- -> 2 Be + 6 OH-,-2.63
Pm3+ + e- -> Pm2+,-2.6
Dy3+ + e- -> Dy2+,-2.6
No2+ + 2 e- -> No,-2.50
HfO(OH)2 + H2O + 4 e- -> Hf + 4 OH-,-2.50
Md2+ + 2 e- -> Md,-2.40
Tm2+ + 2 e- -> Tm,-2.4
La3+ + 3 e- -> La,-2.379
Y3+ + 3 e- -> Y,-2.372
Mg2+ + 2 e- -> Mg,-2.372
ZrO(OH)2 + H2O + 4 e- -> Zr + 4 OH-,-2.36
Pr3+ + 3 e- -> Pr,-2.353
Ce3+ + 3 e- -> Ce,-2.336
Er3+ + 3 e- -> Er,-2.331
Ho3+ + 3 e- -> Ho,-2.33
H2AlO3- + H2O + 3 e- -> Al + 4 OH-,-2.33
Nd3+ + 3 e- -> Nd,-2.323
Tm3+ + 3 e- -> Tm,-2.319
Al(OH)- + 3 e- -> Al + 4 OH-,-2.310
Sm3+ + 3 e- -> Sm,-2.304
Al(OH)3 + 3 e- -> Al + 3 OH-,-2.30
Pm3+ + 3 e- -> Pm,-2.30
Fm2+ + 2 e- -> Fm,-2.30
Am3+ + e- -> Am2+,-2.3
Dy3+ + 3 e- -> Dy,-2.295
Lu3+ + 3 e- -> Lu,-2.28
Tb3+ + 3 e- -> Tb,-2.28
Gd3+ + 3 e- -> Gd,-2.279
H2 + 2 e- -> 2 H-,-2.23
Es2+ + 2 e- -> Es,-2.23
Pm2+ + 2 e- -> Pm,-2.2
Tm3+ + e- -> Tm2+,-2.2
Dy2+ + 2 e- -> Dy,-2.2
Ac3+ + 3 e- -> Ac,-2.20
Yb3+ + 3 e- -> Yb,-2.19
Cf2+ + 2 e- -> Cf,-2.12
Nd2+ + 2 e- -> Nd,-2.1
Ho2+ + 2 e- -> Ho,-2.1
Sc3+ + 3 e- -> Sc,-2.077
AlF6(3-) + 3 e- -> Al + 6 F-,-2.069
Am3+ + 3 e- -> Am,-2.048
Cm3+ + 3 e- -> Cm,-2.04
Pu3+ + 3 e- -> Pu,-2.031
Pr2+ + 2 e- -> Pr,-2.0
Er2+ + 2 e- -> Er,-2.0
Eu3+ + 3 e- -> Eu,-1.991
Lr3+ + 3 e- -> Lr,-1.96
Cf3+ + 3 e- -> Cf,-1.94
Es3+ + 3 e- -> Es,-1.91
